Tanggal,Kasus,Sembuh,Kematian
03/02,2,0,0
03/03,0,0,0
03/04,0,0,0
03/05,0,0,0
03/06,2,0,0
03/07,0,0,0
03/08,2,0,0
03/09,13,0,0
03/10,8,0,0
03/11,7,0,1
03/12,0,0,0
03/13,35,0,3
03/14,27,6,1
03/15,21,0,0
03/16,17,0,0
03/17,38,1,0
03/18,55,2,14
03/19,81,4,6
03/20,60,2,7
03/21,81,3,6
03/22,64,9,10
03/23,65,1,1
03/24,106,0,6
03/25,105,1,3
03/26,103,4,20
03/27,153,11,9
03/28,109,13,15
03/29,130,5,12
03/30,129,11,8
03/31,114,6,14
04/01,149,22,21
04/02,113,9,13
04/03,196,22,11
04/04,106,16,10
05/04,181,14,7
06/04,218,28,11
07/04,247,12,12
08/04,218,18,19
09/04,337,30,40
10/04,219,30,26
11/04,330,4,21
12/04,399,73,46
13/04,316,21,26
14/04,282,46,60
15/04,297,20,10
16/04,380,102,27
17/04,407,59,24
18/04,325,24,15
19/04,327,55,47
20/04,185,61,8
21/04,375,95,26
22/04,283,71,18
23/04,357,47,11
24/04,436,42,42
25/04,396,40,31
26/04,275,65,23
27/04,214,44,22
28/04,415,103,8
29/04,260,137,11
30/04,347,131,8
01/05,433,69,8
02/05,292,74,31
03/05,349,211,14
04/05,395,78,19
05/05,484,243,8
06/05,367,120,23
07/05,338,64,35
08/05,336,113,13
09/05,534,115,18
10/05,535,117,20